message	method	score	actual	runtime(ns)
"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
"	SA	spam	spam	4.35888671875
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, �1.50 to rcv
"	SA	ham	spam	2.534912109375
"WINNER!! As a valued network customer you have been selected to receivea �900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
"	SA	spam	spam	2.485107421875
"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
"	SA	spam	spam	2.248046875
"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
"	SA	spam	spam	2.12890625
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!
"	SA	spam	spam	2.5830078125
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a �1500 Bonus Prize, call 09066364589
"	SA	spam	spam	1.97998046875
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or �1000. To claim txt DIS to 87121 18+6*�1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ
"	SA	spam	spam	1.84716796875
"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""
"	SA	spam	spam	1.801025390625
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML
"	SA	spam	spam	2.260009765625
"Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
"	SA	spam	spam	2.196044921875
"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994
"	SA	spam	spam	2.241943359375
"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x�150pw to e�nd txt stop
"	SA	spam	spam	1.828857421875
"100 dating service cal;l 09064012103 box334sk38ch
"	SA	spam	spam	1.634765625
"Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
"	SA	spam	spam	2.277099609375
"Loan for any purpose �500 - �75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'
"	SA	spam	spam	1.896240234375
"Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p
"	SA	spam	spam	2.02490234375
"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com
"	SA	spam	spam	1.8759765625
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a �500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+
"	SA	spam	spam	1.885986328125
"Today's Offer! Claim ur �150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. �3.00 Sub. 16 . Unsub reply X
"	SA	spam	spam	2.509033203125
"from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
"	SA	spam	spam	1.77197265625
"XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867
"	SA	spam	spam	2.25
"22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
"	SA	spam	spam	2.72509765625
"New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
"	SA	spam	spam	1.715087890625
"EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN �100 Cash WKENT/150P16+
"	SA	spam	spam	3.386962890625
"Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
"	SA	ham	ham	7.791015625
"I am watching TV with my aunt tonight
"	SA	ham	ham	1.8291015625
"Today is the day for us to go to the beach
"	SA	ham	ham	1.924072265625
"For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
"	SA	ham	ham	2.31396484375
"""FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)""
"	SA	ham	ham	2.18408203125
"I don't think he has spatula hands!
"	SA	ham	ham	1.7919921875
"You can never do NOTHING
"	SA	ham	ham	1.657958984375
"Not a drop in the tank
"	SA	ham	ham	1.535888671875
"(That said can you text him one more time?)
"	SA	ham	ham	2.114013671875
"I am not having her number sir
"	SA	ham	ham	1.650146484375
"Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
"	SA	ham	ham	1.931884765625
"sir, you will receive the account no another 1hr time. Sorry for the delay.
"	SA	ham	ham	1.9560546875
"Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...
"	SA	ham	ham	1.7919921875
"Am also doing in cbe only. But have to pay.
"	SA	ham	ham	1.783935546875
"I will see in half an hour
"	SA	ham	ham	1.90478515625
"Oh ho. Is this the first time u use these type of words
"	SA	ham	ham	1.64208984375
"Hey babe! I saw you came online for a second and then you disappeared, what happened ?
"	SA	ham	ham	2.171142578125
"Aiyah u did ok already lar. E nydc at wheellock?
"	SA	ham	ham	1.89013671875
"Sorry, was in the bathroom, sup
"	SA	ham	ham	1.69580078125
"U ned to convince him tht its not possible witot hurting his feeling its the main
"	SA	ham	ham	2.38720703125
"God bless.get good sleep my dear...i will pray!
"	SA	ham	ham	2.2900390625
"\Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry\""""
"	SA	ham	ham	2.35498046875
"I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.
"	SA	ham	ham	1.969970703125
"Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.
"	SA	ham	ham	1.93603515625
"LOL that would be awesome payback.
"	SA	ham	ham	2.298095703125
"Hi, can i please get a  &lt;#&gt;  dollar loan from you. I.ll pay you back by mid february. Pls.
"	SA	ham	ham	2.843017578125
"343434
"	SA	ham	spam/ham	4.5859375
"f
"	SA	ham	spam/ham	2.904052734375
"f
"	SA	ham	spam/ham	5.126953125
"£££
"	SA	ham	spam/ham	5.863037109375
"---
"	SA	ham	spam/ham	14.095947265625
"ssss
"	SA	ham	spam/ham	3.43994140625
"ssssss
"	SA	ham	spam/ham	3.606201171875
"sssssss
"	SA	ham	spam/ham	3.653076171875
"ssss
"	SA	ham	spam/ham	4.129150390625
"xxxxx
"	SA	ham	spam/ham	5.364013671875
"sssss
"	SA	ham	spam/ham	2.884033203125
"ssss
"	SA	ham	spam/ham	3.76318359375
"111
"	SA	ham	spam/ham	2.7099609375
"dfdf
"	SA	ham	spam/ham	3.40185546875
"dfdfdfdf
"	SA	ham	spam/ham	3.010009765625
"dfdfdsds
"	SA	ham	spam/ham	4.87109375
"dfdfdf
"	SA	ham	spam/ham	2.31591796875
"-
"	SA	ham	spam/ham	3.37109375
"efefef-
"	SA	ham	spam/ham	4.053955078125
"--efef-
"	SA	ham	spam/ham	3.6279296875
"efef---
"	SA	ham	spam/ham	3.759033203125
"efefef-
"	SA	ham	spam/ham	2.93603515625
"---
"	SA	ham	spam/ham	2.451171875
"sdsdsd
"	SA	ham	spam/ham	2.941162109375
"sdsdsss
"	SA	ham	spam/ham	2.410888671875
