	message	method	score	actual	runtime(ns)
0	"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
"	LP	[en:0.9999962767711421]	spam	560.2529296875
2	"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, �1.50 to rcv
"	LP	[en:0.9999963168472121]	spam	6.553955078125
4	"WINNER!! As a valued network customer you have been selected to receivea �900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
"	LP	[en:0.9999969119229516]	spam	5.320068359375
6	"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
"	LP	[en:0.9999968267661472]	spam	9.070068359375
8	"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
"	LP	[en:0.9999951833122591]	spam	5.132080078125
10	"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!
"	LP	[en:0.9999966537983869]	spam	6.382080078125
12	"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a �1500 Bonus Prize, call 09066364589
"	LP	[en:0.9999967480193804]	spam	5.33203125
14	"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or �1000. To claim txt DIS to 87121 18+6*�1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ
"	LP	[en:0.9999961400303966]	spam	6.072998046875
16	"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""
"	LP	[en:0.9999959416971365]	spam	3.81884765625
18	"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML
"	LP	[en:0.9999978876544287]	spam	3.7109375
20	"Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546
"	LP	[en:0.9999949744757965]	spam	5.093017578125
22	"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994
"	LP	[en:0.9999966445208736]	spam	5.0029296875
24	"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x�150pw to e�nd txt stop
"	LP	[en:0.999996095806472]	spam	5.35205078125
26	"100 dating service cal;l 09064012103 box334sk38ch
"	LP	[en:0.9999962307196978]	spam	10.095947265625
28	"Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
"	LP	[en:0.5714282960650426, ca:0.4285712692579233]	spam	19.950927734375
30	"Loan for any purpose �500 - �75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'
"	LP	[en:0.9999976061574728]	spam	6.55810546875
32	"Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p
"	LP	[en:0.999994225006474]	spam	4.93603515625
34	"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com
"	LP	[en:0.9999972310965947]	spam	3.9169921875
36	"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a �500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+
"	LP	[en:0.9999965563197757]	spam	4.509033203125
38	"Today's Offer! Claim ur �150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. �3.00 Sub. 16 . Unsub reply X
"	LP	[en:0.999997008763018]	spam	3.718017578125
40	"from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
"	LP	[en:0.9999961937743947]	spam	5.8349609375
42	"XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867
"	LP	[en:0.9999960764171747]	spam	18.848876953125
44	"22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
"	LP	[en:0.9999962419034951]	spam	3.552001953125
46	"New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
"	LP	[en:0.9999953441955692]	spam	5.14794921875
48	"EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN �100 Cash WKENT/150P16+
"	LP	[en:0.9999970008247308]	spam	10.77490234375
50	"Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
"	LP	[en:0.9999972387350224]	ham	604.0888671875
52	"I am watching TV with my aunt tonight
"	LP	[en:0.9999971775402539]	ham	3.73291015625
54	"Today is the day for us to go to the beach
"	LP	[en:0.9999976392849158]	ham	2.505126953125
56	"For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..
"	LP	[en:0.999998191337885]	ham	6.575927734375
58	"""FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)""
"	LP	[en:0.9999959636596396]	ham	9.409912109375
